Sample,Species,Location,Date,Fish #,TL
PH100 - 4.12.16 - 12 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,4/12/2016,L11 (upper),4.57
PH100 - 4.12.16 - 12 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,4/12/2016,L12 (upper),6.018
PH50A (5),P. grandispinis,Port Hacking,2/02/2016,L1 (upper),2.655
PH50A (5),P. grandispinis,Port Hacking,2/02/2016,L2 (lower),1.785
PH50A (5),P. grandispinis,Port Hacking,2/02/2016,L3,2.898
PH50A (5),P. grandispinis,Port Hacking,2/02/2016,L4,3.043
PH50A (5),P. grandispinis,Port Hacking,2/02/2016,L5,2.973
PH50A (5),P. grandispinis,Port Hacking,2/02/2016,L6,2.165
PH50A (5),P. grandispinis,Port Hacking,2/02/2016,L7,3.632
PH50A (5),P. grandispinis,Port Hacking,2/02/2016,L8,4.019
PH50A (5),P. grandispinis,Port Hacking,2/02/2016,L9 (lower),2.787
PH50A (5),P. grandispinis,Port Hacking,2/02/2016,L10 (middle),2.831
PH50A (5),P. grandispinis,Port Hacking,2/02/2016,L11 (upper),2.966
PH50A - 2/2/16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,2/02/2016,L1,2.77
PH50A - 2/2/16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,2/02/2016,L2,3.001
PH50A - 2/2/16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,2/02/2016,L3 (upper row),2.805
PH50A - 2/2/16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,2/02/2016,L4 (upper row),2.926
PH50A - 2/2/16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,2/02/2016,L5 (upper row),2.473
PH50A - 2/2/16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,2/02/2016,L6 (upper row),2.441
PH50A - 2/2/16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,2/02/2016,L7 (upper row),3.289
PH50A - 2/2/16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,2/02/2016,L8 (upper row),2.741
PH50A - 2/2/16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,2/02/2016,L9 (upper row),2.655
PH50A - 2/2/16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,2/02/2016,L10 (upper row),2.296
PH50A - 2/2/16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,2/02/2016,L11 (lower),2.803
PH50A - 2/2/16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,2/02/2016,L12 (lower),2.078
PH50A - 2/2/16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,2/02/2016,L13 (lower),2.586
PH50A - 2/2/16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,2/02/2016,L14 (lower),3.167
NSI - 2.3.18 - 3x A. jugosa,A. jugosa,North Stradbroke,2/03/2018,L1,3.262
NSI - 2.3.18 - 3x A. jugosa,A. jugosa,North Stradbroke,2/03/2018,L2,3.645
NSI - 2.3.18 - 3x A. jugosa,A. jugosa,North Stradbroke,2/03/2018,L3,2.18
NSI - 12.4.16 - 30m - 6x A. jugosa,A. jugosa,North Stradbroke,12/04/2016,L1,8.211
NSI - 12.4.16 - 30m - 6x A. jugosa,A. jugosa,North Stradbroke,12/04/2016,L2,6.042
NSI - 12.4.16 - 30m - 6x A. jugosa,A. jugosa,North Stradbroke,12/04/2016,L3,7.398
NSI - 12.4.16 - 30m - 6x A. jugosa,A. jugosa,North Stradbroke,12/04/2016,L4,5.525
NSI - 12.4.16 - 30m - 6x A. jugosa,A. jugosa,North Stradbroke,12/04/2016,L5,4.252
NSI - 12.4.16 - 30m - 6x A. jugosa,A. jugosa,North Stradbroke,12/04/2016,L6,5.251
NSI - 12.4.16 - 30m - 8x A. jugosa,A. jugosa,North Stradbroke,12/04/2016,L1,3.103
NSI - 12.4.16 - 30m - 8x A. jugosa,A. jugosa,North Stradbroke,12/04/2016,L2,3.742
NSI - 12.4.16 - 30m - 8x A. jugosa,A. jugosa,North Stradbroke,12/04/2016,L3,1.635
NSI - 12.4.16 - 30m - 8x A. jugosa,A. jugosa,North Stradbroke,12/04/2016,L4,3.143
NSI - 12.4.16 - 30m - 8x A. jugosa,A. jugosa,North Stradbroke,12/04/2016,L5,4.151
NSI - 12.4.16 - 30m - 8x A. jugosa,A. jugosa,North Stradbroke,12/04/2016,L6,2.652
NSI - 12.4.16 - 30m - 8x A. jugosa,A. jugosa,North Stradbroke,12/04/2016,L7,2.541
NSI - 12.4.16 - 30m - 8x A. jugosa,A. jugosa,North Stradbroke,12/04/2016,L8,4.315
NSI - 12.4.16 - 30m - P. endrachtensis ,P. endrachtensis,North Stradbroke,12/04/2016,L1,3.467
NSI - 12.4.16 - 30m - P. grandispinis,P. grandispinis,North Stradbroke,12/04/2016,L1,2.323
NSI - 12.4.16 - 60m - A. jugosa,A. jugosa,North Stradbroke,12/04/2016,L1,6.3
NSI - 15.11.18 - 2x A. jugosa,A. jugosa,North Stradbroke,15/11/2018,L1,4.358
NSI - 15.11.18 - 2x A. jugosa,A. jugosa,North Stradbroke,15/11/2018,L2,3.383
NSI - 15.11.18 - 2x Ratabulus spp.,P. endrachtensis,North Stradbroke,15/11/2018,L1 (top),2.154
NSI - 15.11.18 - 2x Ratabulus spp.,P. endrachtensis,North Stradbroke,15/11/2018,L2 (bottom),3.978
NSI - 15.11.18 - Ratabulus spp.,Ratabulus spp.,North Stradbroke,15/11/2018,L1,3.701
NSI - 16.11.20 - 30m - 4x A. jugosa ,A. jugosa,North Stradbroke,16/11/2020,L1,7.861
NSI - 16.11.20 - 30m - 4x A. jugosa ,A. jugosa,North Stradbroke,16/11/2020,L2,2.939
NSI - 16.11.20 - 30m - 4x A. jugosa ,A. jugosa,North Stradbroke,16/11/2020,L3,3.447
NSI - 16.11.20 - 30m - 4x A. jugosa ,A. jugosa,North Stradbroke,16/11/2020,L4,2.593
NSI - 16.11.20 - 30m - P. endrachtensis,P. endrachtensis,North Stradbroke,16/11/2020,L1,6.798
NSI - 16.11.20 - 60m - 1x A. jugosa,A. jugosa,North Stradbroke,16/11/2020,L1,2.889
NSI - 16.11.20 - 60m - 1x P. endrachtensis,P. endrachtensis,North Stradbroke,16/11/2020,L1,4.485
NSI - 17.1.17 60A - ETOH - 6x A. jugosa,A. jugosa,North Stradbroke,17/01/2017,L1,3.834
NSI - 17.1.17 60A - ETOH - 6x A. jugosa,A. jugosa,North Stradbroke,17/01/2017,L2,3.889
NSI - 17.1.17 60A - ETOH - 6x A. jugosa,A. jugosa,North Stradbroke,17/01/2017,L3,5.375
NSI - 17.1.17 60A - ETOH - 6x A. jugosa,A. jugosa,North Stradbroke,17/01/2017,L4,4.657
NSI - 17.1.17 60A - ETOH - 6x A. jugosa,A. jugosa,North Stradbroke,17/01/2017,L5,3.304
NSI - 17.1.17 60A - ETOH - 6x A. jugosa,A. jugosa,North Stradbroke,17/01/2017,L6,5.086
NSI - 17.5.16 - 30m - 3x P. endrachtensis,P. endrachtensis,North Stradbroke,17/05/2016,L1,9.172
NSI - 17.5.16 - 30m - 3x P. endrachtensis,P. endrachtensis,North Stradbroke,17/05/2016,L2,7.181
NSI - 17.5.16 - 30m - 3x P. endrachtensis,P. endrachtensis,North Stradbroke,17/05/2016,L3,8.29
NSI - 17.5.16 - 30m - 5x A. jugosa,A. jugosa,North Stradbroke,17/05/2016,L1,4.146
NSI - 17.5.16 - 30m - 5x A. jugosa,A. jugosa,North Stradbroke,17/05/2016,L2,6.241
NSI - 17.5.16 - 30m - 5x A. jugosa,A. jugosa,North Stradbroke,17/05/2016,L3,5.327
NSI - 17.5.16 - 30m - 5x A. jugosa,A. jugosa,North Stradbroke,17/05/2016,L4,4.105
NSI - 17.5.16 - 30m - 5x A. jugosa,A. jugosa,North Stradbroke,17/05/2016,L5,5.441
NSI - 17.5.16 - 30m - 5x P. endrachtensis ,P. endrachtensis,North Stradbroke,17/05/2016,L1,5.107
NSI - 17.5.16 - 30m - 5x P. endrachtensis ,P. endrachtensis,North Stradbroke,17/05/2016,L2,5.249
NSI - 17.5.16 - 30m - 5x P. endrachtensis ,P. endrachtensis,North Stradbroke,17/05/2016,L3,5.933
NSI - 17.5.16 - 30m - 5x P. endrachtensis ,P. endrachtensis,North Stradbroke,17/05/2016,L4,3.144
NSI - 17.5.16 - 30m - 5x P. endrachtensis ,P. endrachtensis,North Stradbroke,17/05/2016,L5,3.744
NSI - 17.5.16 - 30m - 6x A. jugosa,A. jugosa,North Stradbroke,17/05/2016,L1,7.034
NSI - 17.5.16 - 30m - 6x A. jugosa,A. jugosa,North Stradbroke,17/05/2016,L2,8.055
NSI - 17.5.16 - 30m - 6x A. jugosa,A. jugosa,North Stradbroke,17/05/2016,L3,7.496
NSI - 17.5.16 - 30m - 6x A. jugosa,A. jugosa,North Stradbroke,17/05/2016,L4,6.577
NSI - 17.5.16 - 30m - 6x A. jugosa,A. jugosa,North Stradbroke,17/05/2016,L5,7.444
NSI - 17.5.16 - 30m - 6x A. jugosa,A. jugosa,North Stradbroke,17/05/2016,L6,7.664
NSI - 17.8.18 - 6x P. grandispinis,P. grandispinis,North Stradbroke,17/08/2018,L1,7.273
NSI - 17.8.18 - 6x P. grandispinis,P. grandispinis,North Stradbroke,17/08/2018,L2,6.096
NSI - 17.8.18 - 6x P. grandispinis,P. grandispinis,North Stradbroke,17/08/2018,L3,8.085
NSI - 17.8.18 - 6x P. grandispinis,P. grandispinis,North Stradbroke,17/08/2018,L4,6.091
NSI - 17.8.18 - 6x P. grandispinis,P. grandispinis,North Stradbroke,17/08/2018,L5,7.36
NSI - 17.8.18 - 6x P. grandispinis,P. grandispinis,North Stradbroke,17/08/2018,L6,8.579
NSI - 20.7.20 - 30m - 3x P. grandispinis ,P. grandispinis,North Stradbroke,20/07/2020,L1,4.207
NSI - 20.7.20 - 30m - 3x P. grandispinis ,P. grandispinis,North Stradbroke,20/07/2020,L2,4.883
NSI - 20.7.20 - 30m - 3x P. grandispinis ,P. grandispinis,North Stradbroke,20/07/2020,L3,9.993
NSI - 20.7.20 - 30m - 9x A. jugosa,A. jugosa,North Stradbroke,20/07/2020,L1,5.2
NSI - 20.7.20 - 30m - 9x A. jugosa,A. jugosa,North Stradbroke,20/07/2020,L2,4.793
NSI - 20.7.20 - 30m - 9x A. jugosa,A. jugosa,North Stradbroke,20/07/2020,L3,2.905
NSI - 20.7.20 - 30m - 9x A. jugosa,A. jugosa,North Stradbroke,20/07/2020,L4,5.371
NSI - 20.7.20 - 30m - 9x A. jugosa,A. jugosa,North Stradbroke,20/07/2020,L5,4.377
NSI - 20.7.20 - 30m - 9x A. jugosa,A. jugosa,North Stradbroke,20/07/2020,L6,3.42
NSI - 20.7.20 - 30m - 9x A. jugosa,A. jugosa,North Stradbroke,20/07/2020,L7,3.63
NSI - 20.7.20 - 30m - 9x A. jugosa,A. jugosa,North Stradbroke,20/07/2020,L8,4.961
NSI - 20.7.20 - 30m - 9x A. jugosa,A. jugosa,North Stradbroke,20/07/2020,L9,8.262
NSI - 20.7.20 - 30m - P. endrachtensis,P. endrachtensis,North Stradbroke,20/07/2020,L1,5.363
NSI - 20.10.14 - #2 - 3x A. jugosa,A. jugosa,North Stradbroke,20/10/2014,L1,2.611
NSI - 20.10.14 - #2 - 3x A. jugosa,A. jugosa,North Stradbroke,20/10/2014,L2,2.703
NSI - 20.10.14 - #2 - 3x A. jugosa,A. jugosa,North Stradbroke,20/10/2014,L3,4.04
NSI - 20.10.14 - #2 - 3x P. endrachtensis,P. endrachtensis,North Stradbroke,20/10/2014,L1,3.141
NSI - 20.10.14 - #2 - 3x P. endrachtensis,P. endrachtensis,North Stradbroke,20/10/2014,L2,3.487
NSI - 20.10.14 - #2 - 3x P. endrachtensis,P. endrachtensis,North Stradbroke,20/10/2014,L3,3.016
NSI - 20.10.14 - #2 - P. grandispinis ,P. grandispinis,North Stradbroke,20/10/2014,L1,4.852
NSI - 30m - 21.12.20 - Ratabulus spp.,Ratabulus spp.,North Stradbroke,21/12/2020,L1,2.982
NSI - 30m - 21.12.20 - Ratabulus spp.,Ratabulus spp.,North Stradbroke,21/12/2020,L2,3.463
NSI - 30m - 21.12.20 - Ratabulus spp.,Ratabulus spp.,North Stradbroke,21/12/2020,L3,4.454
NSI - 60A - 7.9.15 - P. grandispinis,P. grandispinis,North Stradbroke,7/09/2015,L1,3.091
NSI - 60A - 17.8.15 - A. jugosa,A. jugosa,North Stradbroke,17/08/2015,L1,3.672
NSI - 60A - 17.8.15 - P. endrachtensis,P. endrachtensis,North Stradbroke,17/08/2015,L1,3.482
NSI - 60A - 23.3.15 - 5x A. jugosa,A. jugosa,North Stradbroke,23/03/2015,L1,7.308
NSI - 60A - 23.3.15 - 5x A. jugosa,A. jugosa,North Stradbroke,23/03/2015,L2,3.678
NSI - 60A - 23.3.15 - 5x A. jugosa,A. jugosa,North Stradbroke,23/03/2015,L3,2.116
NSI - 60A - 23.3.15 - 5x A. jugosa,A. jugosa,North Stradbroke,23/03/2015,L4,2.18
NSI - 60A - 23.3.15 - 5x A. jugosa,A. jugosa,North Stradbroke,23/03/2015,L5,4.604
NSI - 60A - 27.10.15 - 2x A. jugosa,A. jugosa,North Stradbroke,27/10/2015,L1,3.444
NSI - 60A - 27.10.15 - 2x A. jugosa,A. jugosa,North Stradbroke,27/10/2015,L2,6.981
NSI - 60A - 27.10.15 - P. grandispinis,P. grandispinis,North Stradbroke,27/10/2015,L1,5.013
NSI - 60A - 31.7.15 - 4x Ratabulus spp,Ratabulus spp.,North Stradbroke,31/07/2015,L1,4.26
NSI - 60A - 31.7.15 - 4x Ratabulus spp,Ratabulus spp.,North Stradbroke,31/07/2015,L2,4.314
NSI - 60A - 31.7.15 - 4x Ratabulus spp,Ratabulus spp.,North Stradbroke,31/07/2015,L3,4.456
NSI - 60A - 31.7.15 - 4x Ratabulus spp,Ratabulus spp.,North Stradbroke,31/07/2015,L4,3.378
NSI - 60B - 7.9.15 - A. jugosa ,A. jugosa,North Stradbroke,7/09/2015,L1,3.831
NSI - 60B - 7.9.15 - Ratabulus spp,Ratabulus spp.,North Stradbroke,7/09/2015,L1,3.522
NSI - 60m - 21.12.20 - 3x A. jugosa,A. jugosa,North Stradbroke,21/12/2020,L1,2.497
NSI - 60m - 21.12.20 - 3x A. jugosa,A. jugosa,North Stradbroke,21/12/2020,L2,5.935
NSI - 60m - 21.12.20 - 3x A. jugosa,A. jugosa,North Stradbroke,21/12/2020,L3,4.587
NSI #1 - 20.10.14 - 1x additional P. endrachtensis,P. endrachtensis,North Stradbroke,20/10/2014,L1,5.551
NSI #1 - 20.10.14 - 2x P. grandispinis ,P. grandispinis,North Stradbroke,20/10/2014,L1 ,5.673
NSI #1 - 20.10.14 - 2x P. grandispinis ,P. grandispinis,North Stradbroke,20/10/2014,L2,4.682
NSI #1 - 20.10.14 - 5x A. jugosa ,A. jugosa,North Stradbroke,20/10/2014,L1,2.924
NSI #1 - 20.10.14 - 5x A. jugosa ,A. jugosa,North Stradbroke,20/10/2014,L2,3.56
NSI #1 - 20.10.14 - 5x A. jugosa ,A. jugosa,North Stradbroke,20/10/2014,L3,4.609
NSI #1 - 20.10.14 - 5x A. jugosa ,A. jugosa,North Stradbroke,20/10/2014,L4,4.355
NSI #1 - 20.10.14 - 5x A. jugosa ,A. jugosa,North Stradbroke,20/10/2014,L5,2.093
NSI #1 - 20.10.14 - 7x P. endrachtensis,P. endrachtensis,North Stradbroke,20/10/2014,L1,3.334
NSI #1 - 20.10.14 - 7x P. endrachtensis,P. endrachtensis,North Stradbroke,20/10/2014,L2,3.702
NSI #1 - 20.10.14 - 7x P. endrachtensis,P. endrachtensis,North Stradbroke,20/10/2014,L3,4.094
NSI #1 - 20.10.14 - 7x P. endrachtensis,P. endrachtensis,North Stradbroke,20/10/2014,L4,3.65
NSI #1 - 20.10.14 - 7x P. endrachtensis,P. endrachtensis,North Stradbroke,20/10/2014,L5,4.801
NSI #1 - 20.10.14 - 7x P. endrachtensis,P. endrachtensis,North Stradbroke,20/10/2014,L6,4.39
NSI #1 - 20.10.14 - 7x P. endrachtensis,P. endrachtensis,North Stradbroke,20/10/2014,L7,6.853
NSIA - 17.9.14 - 3x P. grandispinis,P. grandispinis,North Stradbroke,17/09/2014,L1,5.61
NSIA - 17.9.14 - 3x P. grandispinis,P. grandispinis,North Stradbroke,17/09/2014,L2,5.44
NSIA - 17.9.14 - 3x P. grandispinis,P. grandispinis,North Stradbroke,17/09/2014,L3,3.903
NSIB - 17.9.14 #2 - 2x P. grandispinis,P. grandispinis,North Stradbroke,17/09/2014,L1,4.786
NSIB - 17.9.14 #2 - 2x P. grandispinis,P. grandispinis,North Stradbroke,17/09/2014,L2,2.855
PH50A - 2.2.16 - 4 Ratabulus spp,Ratabulus spp.,Port Hacking,2/02/2016,L1,3.503
PH50A - 2.2.16 - 4 Ratabulus spp,Ratabulus spp.,Port Hacking,2/02/2016,L2,3.783
PH50A - 2.2.16 - 4 Ratabulus spp,Ratabulus spp.,Port Hacking,2/02/2016,L3,3.067
PH50A - 2.2.16 - 4 Ratabulus spp,Ratabulus spp.,Port Hacking,2/02/2016,L4,2.936
PH50A - 2.2.16 - 14 P. grandispinis 3,P. grandispinis,Port Hacking,2/02/2016,L1 ,2.523
PH50A - 2.2.16 - 14 P. grandispinis 3,P. grandispinis,Port Hacking,2/02/2016,L2,3.094
PH50A - 2.2.16 - 14 P. grandispinis 3,P. grandispinis,Port Hacking,2/02/2016,L3,3.093
PH50A - 2.2.16 - 14 P. grandispinis 3,P. grandispinis,Port Hacking,2/02/2016,L4,2.089
PH50A - 2.2.16 - 14 P. grandispinis 3,P. grandispinis,Port Hacking,2/02/2016,L5,2.863
PH50A - 2.2.16 - 14 P. grandispinis 3,P. grandispinis,Port Hacking,2/02/2016,L6,3.048
PH50A - 2.2.16 - 14 P. grandispinis 3,P. grandispinis,Port Hacking,2/02/2016,L7,2.754
PH50A - 2.2.16 - 14 P. grandispinis 3,P. grandispinis,Port Hacking,2/02/2016,L8,3.056
PH50A - 2.2.16 - 14 P. grandispinis 3,P. grandispinis,Port Hacking,2/02/2016,L9,1.917
PH50A - 2.2.16 - 14 P. grandispinis 3,P. grandispinis,Port Hacking,2/02/2016,L10,2.675
PH50A - 2.2.16 - 14 P. grandispinis 3,P. grandispinis,Port Hacking,2/02/2016,L11,2.811
PH50A - 2.2.16 - 14 P. grandispinis 3,P. grandispinis,Port Hacking,2/02/2016,L12,4.208
PH50A - 2.2.16 - 14 P. grandispinis 3,P. grandispinis,Port Hacking,2/02/2016,L13,3.228
PH50A - 2.2.16 - 14 P. grandispinis 3,P. grandispinis,Port Hacking,2/02/2016,L14,3.585
PH50A - 2.2.16 - 14 P. grandispinis 4,P. grandispinis,Port Hacking,2/02/2016,L1,3.625
PH50A - 2.2.16 - 14 P. grandispinis 4,P. grandispinis,Port Hacking,2/02/2016,L2,2.726
PH50A - 2.2.16 - 14 P. grandispinis 4,P. grandispinis,Port Hacking,2/02/2016,L3,3.161
PH50A - 2.2.16 - 14 P. grandispinis 4,P. grandispinis,Port Hacking,2/02/2016,L4,3.146
PH50A - 2.2.16 - 14 P. grandispinis 4,P. grandispinis,Port Hacking,2/02/2016,L5,2.981
PH50A - 2.2.16 - 14 P. grandispinis 4,P. grandispinis,Port Hacking,2/02/2016,L6,3.172
PH50A - 2.2.16 - 14 P. grandispinis 4,P. grandispinis,Port Hacking,2/02/2016,L7,1.812
PH50A - 2.2.16 - 14 P. grandispinis 4,P. grandispinis,Port Hacking,2/02/2016,L8,2.902
PH50A - 2.2.16 - 14 P. grandispinis 4,P. grandispinis,Port Hacking,2/02/2016,L9,3.359
PH50A - 2.2.16 - 14 P. grandispinis 4,P. grandispinis,Port Hacking,2/02/2016,L10,2.844
PH50A - 2.2.16 - 14 P. grandispinis 4,P. grandispinis,Port Hacking,2/02/2016,L11,3.408
PH50A - 2.2.16 - 14 P. grandispinis 4,P. grandispinis,Port Hacking,2/02/2016,L12,2.191
PH50A - 2.2.16 - 14 P. grandispinis 4,P. grandispinis,Port Hacking,2/02/2016,L13,2.361
PH50A - 2.2.16 - 14 P. grandispinis 4,P. grandispinis,Port Hacking,2/02/2016,L14,2.017
P. richardsoni - MAI202009,P. richardsoni,Maria Island,1/09/2020,L1,2.737
P. richardsoni - MAI202009,P. richardsoni,Maria Island,1/09/2020,L2,2.723
P. richardsoni - MAI202009,P. richardsoni,Maria Island,1/09/2020,L3,2.491
P. richardsoni - MAI202009,P. richardsoni,Maria Island,1/09/2020,L4,2.747
P. richardsoni - MAI202009,P. richardsoni,Maria Island,1/09/2020,L5,2.913
P. bassensis - MAI20210916,P. bassensis,Maria Island,16/09/2021,L1 (top),3.201
P. bassensis - MAI20210916,P. bassensis,Maria Island,16/09/2021,L2,4.328
P. bassensis - MAI20210916,P. bassensis,Maria Island,16/09/2021,L3,3.875
P. bassensis - MAI20210916,P. bassensis,Maria Island,16/09/2021,L4 (bottom),4.331
P. bassensis - MAI20211101A ,P. bassensis,Maria Island,1/11/2021,L1 (top),10.613
P. bassensis - MAI20211101A ,P. bassensis,Maria Island,1/11/2021,L2,8.708
P. bassensis - MAI20211101A ,P. bassensis,Maria Island,1/11/2021,L3,7.981
P. bassensis - MAI20211101A ,P. bassensis,Maria Island,1/11/2021,L4 (bottom),13.107
P. bassensis - MAI20211101B ,P. bassensis,Maria Island,1/11/2021,L1 (top),6.817
P. bassensis - MAI20211101B ,P. bassensis,Maria Island,1/11/2021,L2,9.135
P. bassensis - MAI20211101B ,P. bassensis,Maria Island,1/11/2021,L3 (bottom),7.429
P. bassensis - MAI20211215 Tow 1 ,P. bassensis,Maria Island,15/12/2021,L1,3.309
P. bassensis - MAI20211215 Tow 2,P. bassensis,Maria Island,15/12/2021,L1,3.947
P. bassensis MAI20201021A ,P. bassensis,Maria Island,21/10/2021,L1 (top),5.764
P. bassensis MAI20201021A ,P. bassensis,Maria Island,21/10/2021,L2,8.386
P. bassensis MAI20201021A ,P. bassensis,Maria Island,21/10/2021,L3,3.595
P. bassensis MAI20201021A ,P. bassensis,Maria Island,21/10/2021,L4 (bottom),5.191
P. bassensis MAI20201021B,P. bassensis,Maria Island,21/10/2021,L1,4.415
P. bassensis MAI20201021B,P. bassensis,Maria Island,21/10/2021,L2,3.932
P. bassensis MAI20201021B,P. bassensis,Maria Island,21/10/2021,L3,4.92
P. bassensis MAI20201021B,P. bassensis,Maria Island,21/10/2021,L4,4.929
P. bassensis MAI20201021B,P. bassensis,Maria Island,21/10/2021,L5,7.421
P. bassensis MAI20201021B,P. bassensis,Maria Island,21/10/2021,L6,7.296
P. bassensis MAI20201021B,P. bassensis,Maria Island,21/10/2021,L7,3.572
P. bassensis MAI20201021B,P. bassensis,Maria Island,21/10/2021,L8,2.222
P. bassensis MAI20201021B,P. bassensis,Maria Island,21/10/2021,L9,8.215
P. bassensis MAI20201021B,P. bassensis,Maria Island,21/10/2021,L10,6.803
P. bassensis MAI20201021B,P. bassensis,Maria Island,21/10/2021,L11,6.825
P. bassensis MAI20201021B,P. bassensis,Maria Island,21/10/2021,L12,7.031
P. bassensis MAI20201021B,P. bassensis,Maria Island,21/10/2021,L13,3.112
P. richardsoni - MAI2021033032,P. richardsoni,Maria Island,30/03/2021,L1,3.805
P. richardsoni - MAI2021033032,P. richardsoni,Maria Island,30/03/2021,L2,3.299
PHA - 2.2.16 - 14 P. grandispinis 5,P. grandispinis,Port Hacking,2/02/2016,L1,3.186
PHA - 2.2.16 - 14 P. grandispinis 5,P. grandispinis,Port Hacking,2/02/2016,L2,2.85
PHA - 2.2.16 - 14 P. grandispinis 5,P. grandispinis,Port Hacking,2/02/2016,L3,2.408
PHA - 2.2.16 - 14 P. grandispinis 5,P. grandispinis,Port Hacking,2/02/2016,L4,2.688
PHA - 2.2.16 - 14 P. grandispinis 5,P. grandispinis,Port Hacking,2/02/2016,L5,2.679
PHA - 2.2.16 - 14 P. grandispinis 5,P. grandispinis,Port Hacking,2/02/2016,L6,2.096
PHA - 2.2.16 - 14 P. grandispinis 5,P. grandispinis,Port Hacking,2/02/2016,L7,2.428
PHA - 2.2.16 - 14 P. grandispinis 5,P. grandispinis,Port Hacking,2/02/2016,L8,2.227
PHA - 2.2.16 - 14 P. grandispinis 5,P. grandispinis,Port Hacking,2/02/2016,L9,2.756
PHA - 2.2.16 - 14 P. grandispinis 5,P. grandispinis,Port Hacking,2/02/2016,L10,2.199
PHA - 2.2.16 - 14 P. grandispinis 5,P. grandispinis,Port Hacking,2/02/2016,L11,1.856
PHA - 2.2.16 - 14 P. grandispinis 5,P. grandispinis,Port Hacking,2/02/2016,L12,3.349
PHA - 2.2.16 - 14 P. grandispinis 5,P. grandispinis,Port Hacking,2/02/2016,L13,2.287
PHA - 2.2.16 - 14 P. grandispinis 5,P. grandispinis,Port Hacking,2/02/2016,L14,2.936
PHA - 2.2.16 - 14 P. grandispinis ,P. grandispinis,Port Hacking,2/02/2016,L1,2.984
PHA - 2.2.16 - 14 P. grandispinis ,P. grandispinis,Port Hacking,2/02/2016,L2,3.142
PHA - 2.2.16 - 14 P. grandispinis ,P. grandispinis,Port Hacking,2/02/2016,L3,2.6
PHA - 2.2.16 - 14 P. grandispinis ,P. grandispinis,Port Hacking,2/02/2016,L4,3.145
PHA - 2.2.16 - 14 P. grandispinis ,P. grandispinis,Port Hacking,2/02/2016,L5,2.459
PHA - 2.2.16 - 14 P. grandispinis ,P. grandispinis,Port Hacking,2/02/2016,L6,3.02
PHA - 2.2.16 - 14 P. grandispinis ,P. grandispinis,Port Hacking,2/02/2016,L7,2.582
